Date,Average_Compound
2024-07-29,0.10767971014492754
2024-07-26,0.08764027777777778
2024-07-25,0.0701125
2024-07-24,0.059594029850746265
2024-07-23,0.10256346153846155
2024-07-22,0.076028125
2024-07-19,0.24488275862068964
2024-07-18,0.09903174603174604
2024-07-17,0.14645882352941178
2024-07-16,0.12312962962962963
2024-07-15,0.15521470588235295
2024-07-12,0.11598695652173911
2024-07-11,0.1467030303030303
2024-07-10,0.012257142857142855
2024-07-09,0.1036782608695652
2024-07-08,0.20801333333333333
2024-07-05,0.06887307692307693
2024-07-04,0.0928952380952381
2024-07-03,0.06236296296296296
2024-07-02,0.168475
2024-07-01,0.010380952380952388
2024-06-28,0.13791636363636364
2024-06-27,0.126274
2024-06-26,0.20691147540983604
2024-06-25,0.07077857142857143
2024-06-24,0.04480361445783133
2024-06-21,0.10884383561643836
2024-06-20,0.13150169491525424
2024-06-19,0.14923999999999998
2024-06-18,0.1477525641025641
2024-06-17,0.15962592592592592
2024-06-14,0.10546176470588235
2024-06-13,0.1034
2024-06-12,0.10500307692307692
2024-06-11,0.11664505494505495
2024-06-10,0.1355341463414634
2024-06-07,0.13817272727272728
2024-06-06,0.10701774193548387
2024-06-05,0.13302444444444445
2024-06-04,0.09808750000000001
2024-06-03,0.11232564102564102
2024-05-31,0.2101578947368421
2024-05-30,0.09725833333333334
2024-05-29,0.14682463768115941
2024-05-28,0.16093389830508475
2024-05-27,0.13235454545454545
2024-05-24,0.19850256410256412
2024-05-23,0.12547250000000001
2024-05-22,0.156562
2024-05-21,0.12289347826086958
2024-05-20,0.04043191489361702
2024-05-17,0.13753793103448275
2024-05-16,0.15572926829268294
2024-05-15,0.12009272727272728
2024-05-14,0.01580571428571429
2024-05-13,0.11240869565217392
2024-05-10,0.09970983606557376
2024-05-09,0.14036363636363638
2024-05-08,0.09626935483870967
2024-05-07,0.041322105263157896
2024-05-06,0.11007333333333333
2024-05-03,0.103758
2024-05-02,0.06765555555555555
2024-05-01,0.053516666666666664
2024-04-30,0.11660769230769231
2024-04-29,0.17743815789473685
2024-04-26,0.07980204081632654
2024-04-25,-0.009062745098039216
2024-04-24,0.07250000000000001
2024-04-23,0.1186703125
2024-04-22,0.10076034482758621
2024-04-19,0.031007042253521123
2024-04-18,0.08191851851851853
2024-04-17,0.05555857142857143
2024-04-16,0.00689803921568627
2024-04-15,0.0745051724137931
2024-04-12,0.052612500000000006
2024-04-11,0.022242647058823534
2024-04-10,0.19051276595744682
2024-04-09,0.009764583333333335
2024-04-08,0.08504324324324324
2024-04-05,0.08018524590163935
2024-04-04,-0.006830612244897957
2024-04-03,0.02195333333333333
2024-04-02,0.05001891891891892
2024-04-01,0.17437083333333334
2024-03-29,0.127812
2024-03-28,0.11318518518518518
2024-03-27,-0.0038818181818181803
2024-03-26,0.1406090909090909
2024-03-25,0.06975
2024-03-22,0.07406823529411764
2024-03-21,-0.04529718309859155
2024-03-20,0.03779473684210526
2024-03-19,0.14581136363636363
2024-03-18,0.08397605633802817
2024-03-15,-0.0756
2024-03-14,0.11308965517241379
2024-03-13,0.019341071428571423
2024-03-12,0.05611379310344828
2024-03-11,0.12489600000000001
2024-03-08,0.006570312500000002
2024-03-07,0.04474328358208955
2024-03-06,0.05118181818181818
2024-03-05,0.06962323232323232
2024-03-04,0.06513255813953488
2024-03-01,0.13354848484848483
2024-02-29,0.038152459016393456
2024-02-28,0.05764516129032259
2024-02-27,-0.05313103448275862
2024-02-26,0.08367586206896552
2024-02-23,0.09183809523809525
2024-02-22,0.11755952380952381
2024-02-21,0.18092456140350877
2024-02-20,0.1202906976744186
2024-02-19,0.134171875
2024-02-16,0.11208367346938775
2024-02-15,0.17706610169491524
2024-02-14,0.15280357142857143
2024-02-13,0.14771052631578946
2024-02-12,0.25659767441860465
2024-02-09,0.202524
2024-02-08,0.09435694444444445
2024-02-07,0.0848054054054054
2024-02-06,0.1971690909090909
2024-02-05,0.1549046875
2024-02-02,0.17431058823529413
2024-02-01,0.07328227848101265
2024-01-31,0.06981346153846155
2024-01-30,0.1298296875
2024-01-29,0.15932950819672131
2024-01-26,0.029970967741935486
2024-01-25,0.14991800000000002
2024-01-24,0.09417647058823529
2024-01-23,0.1540804347826087
2024-01-22,0.16293720930232558
2024-01-19,0.11492083333333333
2024-01-18,0.17561129032258066
2024-01-17,-0.013319999999999999
2024-01-16,0.06621449275362318
2024-01-15,-0.008632432432432433
2024-01-12,0.20442931034482759
2024-01-11,0.10742771084337348
2024-01-10,0.11832181818181818
2024-01-09,0.12311136363636364
2024-01-08,0.18887746478873238
2024-01-05,0.06744027777777778
2024-01-04,0.04764931506849315
2024-01-03,0.06390759493670886
2024-01-02,-0.013549411764705884
2024-01-01,0.2808555555555555
2023-12-29,0.161996
2023-12-28,0.08904647887323944
2023-12-27,-0.0544064935064935
2023-12-26,-0.1871616666666667
2023-12-25,0.35109999999999997
2023-12-22,0.024336170212765962
2023-12-21,-0.03121833333333334
2023-12-20,0.002447368421052631
2023-12-19,0.05350958904109589
2023-12-18,0.015604819277108432
2023-12-15,0.055310204081632654
2023-12-14,0.16709841269841272
2023-12-13,0.09824153846153846
2023-12-12,0.07616
2023-12-11,0.14892089552238807
2023-12-08,0.09184
2023-12-07,0.10273278688524591
2023-12-06,0.06647066666666668
2023-12-05,0.14054210526315788
2023-12-04,0.108115
2023-12-01,0.12444193548387096
2023-11-30,0.13285853658536587
2023-11-29,0.09233846153846155
2023-11-28,0.16618524590163933
2023-11-27,0.15381063829787234
2023-11-24,0.1576936170212766
2023-11-23,-0.00964
2023-11-22,0.155014
2023-11-21,0.05120597014925373
2023-11-20,0.17922666666666665
2023-11-17,0.014701388888888885
2023-11-16,0.1727076923076923
2023-11-15,0.09422898550724639
2023-11-14,0.13156774193548387
2023-11-13,0.13823396226415094
2023-11-10,0.059020588235294116
2023-11-09,0.11621600000000001
2023-11-08,0.09191551724137931
2023-11-07,0.08408356164383561
2023-11-06,0.0956608695652174
2023-11-03,0.08066666666666666
2023-11-02,0.0535421052631579
2023-11-01,0.045621951219512194
2023-10-31,0.01590128205128205
2023-10-30,0.013389156626506023
2023-10-27,0.010036764705882356
2023-10-26,-0.044951020408163254
2023-10-25,0.1103179104477612
2023-10-24,-0.03855245901639344
2023-10-23,0.041409859154929576
2023-10-20,0.12065714285714287
2023-10-19,0.023118181818181816
2023-10-18,0.06323125
2023-10-17,0.10614528301886793
2023-10-16,0.057957352941176474
2023-10-13,0.11363500000000001
2023-10-12,0.104034
2023-10-11,0.08696382978723403
2023-10-10,0.11392115384615384
2023-10-09,0.05032884615384615
2023-10-06,0.10950204081632654
2023-10-05,0.1705586956521739
2023-10-04,0.10240919540229884
2023-10-03,0.035244680851063824
2023-10-02,0.06702727272727273
2023-09-29,0.04746666666666667
2023-09-28,0.028347272727272724
2023-09-27,0.05465535714285714
2023-09-26,0.07381147540983606
2023-09-25,0.057216666666666666
2023-09-22,0.1080209677419355
2023-09-21,-0.013016326530612245
2023-09-20,0.06830746268656716
2023-09-19,0.0794206896551724
2023-09-18,0.18847090909090908
2023-09-15,0.03145844155844156
2023-09-14,0.06334927536231882
2023-09-13,0.021616470588235296
2023-09-12,0.009047500000000002
2023-09-11,0.10777032967032968
2023-09-08,-0.0005714285714285691
2023-09-07,-0.07912380952380953
2023-09-06,-0.019073584905660374
2023-09-05,0.09103461538461538
2023-09-04,0.07801666666666668
2023-09-01,0.0930093023255814
2023-08-31,0.30194464285714284
2023-08-30,0.10371095890410958
2023-08-29,0.15373333333333333
2023-08-28,0.022017391304347832
2023-08-25,0.023562500000000004
2023-08-24,0.07666181818181818
2023-08-23,0.14620555555555556
2023-08-22,0.12204358974358975
2023-08-21,0.0700872340425532
2023-08-18,0.09561666666666667
2023-08-17,0.049981132075471696
2023-08-16,0.09756
2023-08-15,0.06276451612903226
2023-08-14,0.10957894736842107
2023-08-11,0.025251923076923085
2023-08-10,0.12380588235294117
2023-08-09,0.12753285714285714
2023-08-08,0.08581016949152542
2023-08-07,0.08513815789473685
